air_force_blue_raf,Blue,#5d8aa8,93,138,168
air_force_blue_usaf,Blue,#00308f,0,48,143
air_superiority_blue,Blue,#72a0c1,114,160,193
alabama_crimson,Red,#a32638,163,38,56
alice_blue,Blue,#f0f8ff,240,248,255
alizarin_crimson,Red,#e32636,227,38,54
alloy_orange,Orange,#c46210,196,98,16b
almond,Brown,#efdecd,239,222,205
amber,Orange,#ffbf00,255,191,0
amber_sae_ece,Orange,#ff7e00,255,126,0
american_rose,Pink,#ff033e,255,3,62
amethyst,Violet,#96c,153,102,204
android_green,Green,#a4c639,164,198,57
anti_flash_white,White,#f2f3f4,242,243,244
antique_brass,Orange,#cd9575,205,149,117
antique_fuchsia,Violet,#915c83,145,92,131
antique_ruby,Red,#841b2d,132,27,45
antique_white,Yellow,#faebd7,250,235,215
ao_english,Blue,#008000,0,128,0
apple_green,Green,#8db600,141,182,0
apricot,Orange,#fbceb1,251,206,177
aqua,Blue,#0ff,0,255,255
aquamarine,Blue,#7fffd4,127,255,212
army_green,Green,#4b5320,75,83,32
arsenic,Violet,#3b444b,59,68,75
arylide_yellow,Yellow,#e9d66b,233,214,107
ash_grey,Gray,#b2beb5,178,190,181
asparagus,Green,#87a96b,135,169,107
atomic_tangerine,Orange,#f96,255,153,102
auburn,Red,#a52a2a,165,42,42
aureolin,Yellow,#fdee00,253,238,0
aurometalsaurus,Yellow,#6e7f80,110,127,128
avocado,Green,#568203,86,130,3
azure,Blue,#007fff,0,127,255
azure_mist_web,Blue,#f0ffff,240,255,255
baby_blue,Blue,#89cff0,137,207,240
baby_blue_eyes,Blue,#a1caf1,161,202,241
baby_pink,Pink,#f4c2c2,244,194,194
ball_blue,Blue,#21abcd,33,171,205
banana_mania,Yellow,#fae7b5,250,231,181
banana_yellow,Yellow,#ffe135,255,225,53
barn_red,Red,#7c0a02,124,10,2
battleship_grey,Gray,#848482,132,132,130
bazaar,Brown,#98777b,152,119,123
beau_blue,Blue,#bcd4e6,188,212,230
beaver,Gray,#9f8170,159,129,112
beige,Brown,#f5f5dc,245,245,220
big_dip_o_ruby,Red,#9c2542,156,37,66
bisque,Orange,#ffe4c4,255,228,196
bistre,Brown,#3d2b1f,61,43,31
bittersweet,Orange,#fe6f5e,254,111,94
bittersweet_shimmer,Orange,#bf4f51,191,79,81
black,Black,#000,0,0,0
black_bean,Black,#3d0c02,61,12,2
black_leather_jacket,Black,#253529,37,53,41
black_olive,Black,#3b3c36,59,60,54
blanched_almond,Brown,#ffebcd,255,235,205
blast_off_bronze,None,#a57164,165,113,100
bleu_de_france,Blue,#318ce7,49,140,231
blizzard_blue,Blue,#ace5ee,172,229,238
blond,Blond,#faf0be,250,240,190
blue,Blue,#00f,0,0,255
blue_bell,Blue,#a2a2d0,162,162,208
blue_crayola,Blue,#1f75fe,31,117,254
blue_gray,Blue,#69c,102,153,204
blue_green,Green,#0d98ba,13,152,186
blue_munsell,Blue,#0093af,0,147,175
blue_ncs,Blue,#0087bd,0,135,189
blue_pigment,Blue,#339,51,51,153
blue_ryb,Blue,#0247fe,2,71,254
blue_sapphire,Blue,#126180,18,97,128
blue_violet,Violet,#8a2be2,138,43,226
blush,Pink,#de5d83,222,93,131
bole,Brown,#79443b,121,68,59
bondi_blue,Blue,#0095b6,0,149,182
bone,Brown,#e3dac9,227,218,201
boston_university_red,Red,#c00,204,0,0
bottle_green,Green,#006a4e,0,106,78
boysenberry,Violet,#873260,135,50,96
brandeis_blue,Blue,#0070ff,0,112,255
brass,Brown,#b5a642,181,166,66
brick_red,Red,#cb4154,203,65,84
bright_cerulean,Blue,#1dacd6,29,172,214
bright_green,Green,#6f0,102,255,0
bright_lavender,Violet,#bf94e4,191,148,228
bright_maroon,Red,#c32148,195,33,72
bright_pink,Pink,#ff007f,255,0,127
bright_turquoise,Blue,#08e8de,8,232,222
bright_ube,Violet,#d19fe8,209,159,232
brilliant_lavender,Violet,#f4bbff,244,187,255
brilliant_rose,Pink,#ff55a3,255,85,163
brink_pink,Pink,#fb607f,251,96,127
british_racing_green,Green,#004225,0,66,37
bronze,Bronze,#cd7f32,205,127,50
brown_traditional,Brown,#964b00,150,75,0
brown_web,Brown,#a52a2a,165,42,42
bubble_gum,Pink,#ffc1cc,255,193,204
bubbles,Light Blue,#e7feff,231,254,255
buff,Yellowish Brown,#f0dc82,240,220,130
bulgarian_rose,Red,#480607,72,6,7
burgundy,Red,#800020,128,0,32
burlywood,Yellowish Brown,#deb887,222,184,135
burnt_orange,Orange,#c50,204,85,0
burnt_sienna,Reddish Brown,#e97451,233,116,81
burnt_umber,Violet,#8a3324,138,51,36
byzantine,Violet,#bd33a4,189,51,164
byzantium,Blue,#702963,112,41,99
cadet,Blue,#536872,83,104,114
cadet_blue,Blue,#5f9ea0,95,158,160
cadet_grey,Gray,#91a3b0,145,163,176
cadmium_green,Green,#006b3c,0,107,60
cadmium_orange,Orange,#ed872d,237,135,45
cadmium_red,Red,#e30022,227,0,34
cadmium_yellow,Yellow,#fff600,255,246,0
caf_au_lait,Light Brown,#a67b5b,166,123,91
caf_noir,Dark Brown,#4b3621,75,54,33
cal_poly_green,Green,#1e4d2b,30,77,43
cambridge_blue,Blue,#a3c1ad,163,193,173
camel,Camel,#c19a6b,193,154,107
cameo_pink,Pink,#efbbcc,239,187,204
camouflage_green,Green,#78866b,120,134,107
canary_yellow,Yellow,#ffef00,255,239,0
candy_apple_red,Red,#ff0800,255,8,0
candy_pink,Pink,#e4717a,228,113,122
capri,Blue,#00bfff,0,191,255
